true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,stage,regime
0.0,102.99,0.46895,0.0471,0.4963410170390149,base,gaussian
0.0,167.39,0.46975,0.0504,0.4964357129975269,base,gaussian
0.0,306.02,0.4729,0.0491,0.4973054875827694,base,gaussian
0.0,342.78,0.46915,0.04835,0.49674132020103323,base,gaussian
0.0,355.01,0.4644,0.04735,0.49603697476923053,base,gaussian
0.05,102.99,0.49435,0.11365,0.506281630784919,base,gaussian
0.05,167.39,0.50785,0.1423,0.5110343810189123,base,gaussian
0.05,306.02,0.5319,0.19595,0.5196752011804917,base,gaussian
0.05,342.78,0.53085,0.20535,0.5209931589388376,base,gaussian
0.05,355.01,0.52765,0.20705,0.5208123848240315,base,gaussian
0.1,102.99,0.5385,0.22905,0.5238866764169844,base,gaussian
0.1,167.39,0.5761,0.3128,0.5412958773060742,base,gaussian
0.1,306.02,0.65465,0.46175,0.5805247551786928,base,gaussian
0.1,342.78,0.67005,0.49745,0.5895643841907545,base,gaussian
0.1,355.01,0.6739,0.5093,0.5930374819450656,base,gaussian
0.15,102.99,0.61185,0.3858,0.5570555893914526,base,gaussian
0.15,167.39,0.6878,0.5308,0.6003029133236484,base,gaussian
0.15,306.02,0.82715,0.74765,0.6925904940816917,base,gaussian
0.15,342.78,0.84885,0.78945,0.7141559254225447,base,gaussian
0.15,355.01,0.86215,0.8054,0.7230080352485675,base,gaussian
0.2,102.99,0.70275,0.56225,0.6090300437881779,base,gaussian
0.2,167.39,0.8166,0.73515,0.6858682149578775,base,gaussian
0.2,306.02,0.9461,0.922,0.820398108534275,base,gaussian
0.2,342.78,0.9618,0.94605,0.8465135207724452,base,gaussian
0.2,355.01,0.96665,0.9492,0.8558107259312404,base,gaussian
0.3,102.99,0.8907,0.84745,0.7522721517269538,base,gaussian
0.3,167.39,0.97285,0.9595,0.8660885101155389,base,gaussian
0.3,306.02,0.99925,0.99795,0.9686366458459983,base,gaussian
0.3,342.78,0.99975,0.99935,0.9790272725246388,base,gaussian
0.3,355.01,0.9998,0.99935,0.9816820271553386,base,gaussian
0.0,102.99,0.4429,0.04965,0.49012988273322516,base,fat_tailed
0.0,167.39,0.45135,0.0492,0.4932602098222597,base,fat_tailed
0.0,306.02,0.4515,0.0493,0.4927516936675167,base,fat_tailed
0.0,342.78,0.4468,0.0497,0.48997838581029557,base,fat_tailed
0.0,355.01,0.45745,0.04965,0.4941814996386588,base,fat_tailed
0.05,102.99,0.47365,0.1263,0.5036077387038967,base,fat_tailed
0.05,167.39,0.4899,0.1487,0.5097346905704818,base,fat_tailed
0.05,306.02,0.51,0.20325,0.5169050034133277,base,fat_tailed
0.05,342.78,0.51165,0.21135,0.5167650876143786,base,fat_tailed
0.05,355.01,0.52395,0.21475,0.5206090523188587,base,fat_tailed
0.1,102.99,0.5224,0.25295,0.5284336889080229,base,fat_tailed
0.1,167.39,0.5671,0.32625,0.5452737887981972,base,fat_tailed
0.1,306.02,0.6451,0.4784,0.5830260787080799,base,fat_tailed
0.1,342.78,0.66055,0.51775,0.5899481843130634,base,fat_tailed
0.1,355.01,0.6706,0.52325,0.5958592419613997,base,fat_tailed
0.15,102.99,0.6052,0.4184,0.5704716815750684,base,fat_tailed
0.15,167.39,0.68865,0.55255,0.6096310992761818,base,fat_tailed
0.15,306.02,0.8207,0.75685,0.6959981666773328,base,fat_tailed
0.15,342.78,0.85015,0.79855,0.7161006273777297,base,fat_tailed
0.15,355.01,0.8595,0.81015,0.724261983424981,base,fat_tailed
0.2,102.99,0.71125,0.5964,0.6280578133117816,base,fat_tailed
0.2,167.39,0.81705,0.74985,0.6939074710520656,base,fat_tailed
0.2,306.02,0.9421,0.92255,0.8157670759493436,base,fat_tailed
0.2,342.78,0.9605,0.9441,0.8403786623812812,base,fat_tailed
0.2,355.01,0.9665,0.95075,0.8492557999543209,base,fat_tailed
0.3,102.99,0.89015,0.85915,0.7566213509348396,base,fat_tailed
0.3,167.39,0.9653,0.95675,0.851074415510178,base,fat_tailed
0.3,306.02,0.9984,0.99705,0.9547322864516861,base,fat_tailed
0.3,342.78,0.99975,0.9985,0.9674183062514671,base,fat_tailed
0.3,355.01,0.99955,0.99925,0.9713267640557398,base,fat_tailed
0.5,5000.0,1.0,,1.0,stage_a_positive_control,gaussian
0.5,5000.0,1.0,,1.0,stage_a_positive_control,fat_tailed
0.5,5000.0,1.0,,1.0,stage_b_ideal_floor,gaussian
0.5,5000.0,1.0,,1.0,stage_b_ideal_floor,fat_tailed
0.3,5000.0,1.0,,1.0,stage_b_ideal_floor,gaussian
0.3,5000.0,1.0,,1.0,stage_b_ideal_floor,fat_tailed
0.2,5000.0,1.0,,0.9999999999914502,stage_b_ideal_floor,gaussian
0.2,5000.0,1.0,,0.9999999997609397,stage_b_ideal_floor,fat_tailed
0.15,5000.0,1.0,,0.9999993871336288,stage_b_ideal_floor,gaussian
0.15,5000.0,1.0,,0.9999981184509483,stage_b_ideal_floor,fat_tailed
0.1,5000.0,1.0,,0.9983171779152955,stage_b_ideal_floor,gaussian
0.1,5000.0,1.0,,0.9977620067383185,stage_b_ideal_floor,fat_tailed
0.05,5000.0,0.95425,,0.8300555785512325,stage_b_ideal_floor,gaussian
0.05,5000.0,0.9444,,0.8206481741981554,stage_b_ideal_floor,fat_tailed
0.02,5000.0,0.59695,,0.552316124014741,stage_b_ideal_floor,gaussian
0.02,5000.0,0.5616,,0.5380552360626863,stage_b_ideal_floor,fat_tailed
0.01,5000.0,0.5152,,0.5150345376207288,stage_b_ideal_floor,gaussian
0.01,5000.0,0.4759,,0.500339477030685,stage_b_ideal_floor,fat_tailed
0.0,5000.0,0.47275,,0.4985976193733213,stage_b_ideal_floor,gaussian
0.0,5000.0,0.4357,,0.48341333343251847,stage_b_ideal_floor,fat_tailed
0.5,102.99,0.9985,,0.9571989930342403,tao_realistic_floor,gaussian
0.5,102.99,0.9965,,0.9234157655862498,tao_realistic_floor,fat_tailed
0.3,102.99,0.8907,,0.7522721517269538,tao_realistic_floor,gaussian
0.3,102.99,0.89015,,0.7566213509348396,tao_realistic_floor,fat_tailed
0.2,102.99,0.70275,,0.6090300437881779,tao_realistic_floor,gaussian
0.2,102.99,0.71125,,0.6280578133117816,tao_realistic_floor,fat_tailed
0.15,102.99,0.61185,,0.5570555893914526,tao_realistic_floor,gaussian
0.15,102.99,0.6052,,0.5704716815750684,tao_realistic_floor,fat_tailed
